job_id,time_m1,time_m2,time_m3,due_date,completion_time_edd,delay_edd
2789,18.43,10.44,15.99,75.55,44.87,0.0
1785,16.15,7.88,14.19,84.07,59.05,0.0
1922,8.74,19.47,18.39,98.74,81.18,0.0
1061,18.9,14.61,19.59,148.28,100.77,0.0
918,14.76,19.72,7.54,175.06,108.32,0.0
1161,17.1,16.99,15.75,176.51,129.86,0.0
2102,14.05,15.22,16.88,193.27,146.74,0.0
1476,10.66,12.51,5.63,216.86,152.37,0.0
2999,14.16,8.87,19.26,235.18,171.63,0.0
806,11.86,10.89,13.29,256.22,184.92,0.0
2938,11.53,6.22,5.22,260.6,190.14,0.0
427,6.76,7.41,12.83,279.94,202.97,0.0
2913,8.64,12.5,7.33,284.31,210.3,0.0
2484,15.06,8.58,10.44,299.53,220.74,0.0
2394,6.38,14.88,6.35,306.83,227.09,0.0
283,8.91,5.68,19.34,319.24,246.43,0.0
1181,15.4,12.73,8.03,348.09,254.46,0.0
269,10.05,7.86,13.96,384.4,268.42,0.0
2694,8.57,5.53,10.08,400.87,278.5,0.0
736,14.86,6.61,18.23,411.44,296.73,0.0
854,8.61,5.17,17.7,437.93,314.42,0.0
58,13.68,8.49,19.8,438.66,334.22,0.0
2531,7.04,14.37,16.96,440.4,351.18,0.0
2980,15.83,15.98,6.05,443.25,357.23,0.0
1325,18.35,5.67,7.01,449.98,364.23,0.0
334,5.79,9.12,8.8,453.07,373.03,0.0
20,16.23,13.52,10.01,494.18,383.04,0.0
2028,6.48,5.87,18.44,503.67,401.47,0.0
1677,13.82,17.83,11.97,509.55,413.45,0.0
1138,14.84,11.25,18.14,522.1,431.58,0.0
2467,10.87,9.51,10.97,527.39,442.55,0.0
573,8.49,19.95,8.76,545.13,451.32,0.0
1050,16.54,7.21,10.29,567.9,461.6,0.0
534,9.25,12.27,14.71,579.37,476.32,0.0
2041,13.9,6.1,15.94,582.34,492.26,0.0
2795,14.97,17.48,12.49,608.9,504.75,0.0
133,16.14,13.57,16.11,631.13,520.86,0.0
1699,5.63,7.92,6.58,633.52,527.44,0.0
2094,15.7,17.27,13.95,640.9,541.4,0.0
2505,8.07,11.25,19.91,656.58,561.31,0.0
1353,5.3,13.36,10.08,671.98,571.39,0.0
351,14.34,6.8,6.48,697.53,577.87,0.0
2293,6.33,8.55,15.07,703.35,592.94,0.0
1818,5.2,6.82,9.3,755.01,602.23,0.0
646,14.38,11.92,5.6,762.0,607.83,0.0
759,12.62,18.96,19.28,766.46,627.11,0.0
102,16.66,5.48,16.2,781.94,643.31,0.0
1190,10.72,10.8,8.33,787.99,651.64,0.0
1068,15.04,19.44,7.07,788.02,658.72,0.0
690,12.65,15.5,17.55,789.62,676.27,0.0
1290,16.79,7.58,6.83,795.8,683.1,0.0
2947,17.05,10.06,14.61,798.55,697.71,0.0
2499,8.31,9.34,5.03,801.57,702.75,0.0
72,16.61,12.77,11.06,823.57,713.8,0.0
576,8.65,6.94,6.36,824.09,720.16,0.0
2605,7.8,10.93,6.93,830.88,727.1,0.0
962,18.18,19.71,17.63,838.25,744.72,0.0
2844,7.12,16.25,18.92,842.21,763.64,0.0
1195,10.95,19.09,10.2,868.35,773.85,0.0
499,13.84,9.73,11.09,872.83,784.93,0.0
1988,13.44,9.97,8.2,876.35,793.13,0.0
2932,9.78,6.84,9.48,883.55,802.61,0.0
2203,18.09,11.47,18.05,884.37,820.66,0.0
2984,8.57,9.28,19.08,886.28,839.75,0.0
