job_id,arrival_time,time_m1,time_m2,time_m3,due_date,completion_time_edd,delay_edd
0,71.08,7.92,19.48,18.86,131.8,117.36,0.0
1,160.04,8.22,8.33,9.33,212.99,185.93,0.0
2,179.54,19.57,6.06,7.9,215.2,219.45,4.25
3,299.55,10.5,12.08,9.89,355.32,332.12,0.0
4,341.81,8.12,11.45,9.56,373.65,370.96,0.0
5,483.43,15.2,14.97,18.24,543.37,531.87,0.0
6,522.39,11.34,11.07,15.03,559.98,569.31,9.33
7,573.34,13.03,10.18,5.33,629.89,601.95,0.0
8,574.12,13.47,7.3,5.52,604.98,628.24,23.25
9,579.67,7.26,15.27,15.92,628.48,666.69,38.21
10,665.98,12.13,12.48,18.14,717.29,709.44,0.0
11,832.63,15.37,15.25,5.09,870.35,868.34,0.0
12,835.28,10.19,19.19,18.14,924.69,915.86,0.0
13,845.62,15.59,16.62,17.14,931.05,965.2,34.15
14,857.97,7.68,16.89,16.07,949.83,1005.84,56.01
16,939.92,6.01,13.23,15.34,984.41,1040.42,56.01
15,906.28,18.34,7.09,19.36,1000.65,1085.21,84.57
19,999.66,6.43,14.8,18.31,1039.49,1124.76,85.28
17,944.76,9.18,17.37,6.36,1041.26,1157.67,116.41
18,968.26,8.07,6.68,19.72,1055.85,1192.13,136.28
21,1103.81,9.1,14.91,13.29,1158.7,1229.42,70.72
20,1081.55,17.85,11.88,13.54,1162.28,1272.7,110.41
23,1178.89,5.81,8.31,5.99,1202.68,1292.81,90.13
22,1137.05,19.05,9.32,15.18,1232.19,1336.37,104.18
24,1189.37,10.14,10.55,11.71,1246.89,1368.77,121.88
25,1281.6,15.31,10.47,14.94,1340.65,1409.49,68.84
27,1315.24,11.53,11.82,9.45,1348.99,1442.29,93.3
26,1292.75,13.19,9.78,15.14,1361.33,1480.39,119.06
28,1319.4,19.89,16.1,11.58,1392.2,1527.97,135.76
29,1344.99,15.66,19.26,16.6,1410.88,1579.48,168.6
30,1680.55,18.83,5.87,11.18,1730.25,1716.46,0.0
32,1711.91,15.38,8.99,14.57,1777.85,1755.41,0.0
31,1706.72,14.25,7.15,16.21,1789.11,1793.02,3.91
33,2018.93,16.97,10.08,15.95,2065.58,2062.02,0.0
34,2121.07,11.26,8.98,8.58,2155.49,2149.93,0.0
35,2251.06,6.44,8.49,7.88,2277.82,2273.94,0.0
36,2358.01,13.81,14.97,18.5,2418.98,2405.33,0.0
37,2361.16,7.84,12.75,15.73,2455.07,2441.65,0.0
38,2419.63,8.4,13.89,19.02,2470.24,2482.96,12.72
39,2638.09,18.56,13.65,12.22,2685.68,2682.59,0.0
40,2647.65,5.61,14.17,15.69,2798.36,2718.06,0.0
41,2723.01,19.91,11.04,7.01,2762.38,2761.02,0.0
42,2750.78,12.96,19.79,9.46,2799.15,2803.23,4.08
43,2855.71,10.83,13.38,7.27,2931.26,2887.21,0.0
44,3061.37,16.33,19.04,9.99,3107.48,3106.76,0.0
45,3091.08,18.47,12.04,8.01,3133.36,3145.27,11.91
46,3105.74,11.59,18.89,18.26,3187.03,3194.0,6.97
