job_id,time_m1,time_m2,time_m3,due_date
0,19.227410,19.845390,8.376610,593.122680
1,7.248731,10.701404,19.011622,228.752394
2,11.933309,9.020588,13.790267,265.824107
3,17.770296,12.666625,12.853121,107.846450
4,19.616056,5.212410,10.083698,908.590692
5,16.088814,14.330798,10.418782,572.780017
6,14.459116,15.824954,8.453903,719.249991
7,17.341475,15.369498,7.601192,149.718299
8,18.107954,10.713463,8.389548,144.187180
9,10.341015,18.390726,13.652179,947.590633
10,17.198292,9.121893,6.768492,499.093803
11,7.059422,18.581891,14.507923,118.346844
12,9.618966,10.379507,14.003487,288.308328
13,7.587682,6.562534,6.210204,696.843159
14,5.420293,6.592606,16.818473,587.371796
15,8.186439,18.151095,10.655202,154.030376
16,15.365090,5.834195,5.064816,718.474289
17,11.628420,10.653932,18.028713,166.267922
18,16.167927,13.994416,13.374186,1721.662923
19,7.006043,7.206347,5.458957,90.495941
